department_id,department_name,shift_id,shift_date,shift_type,start_time,end_time,staff_type,staff_subclass,assigned_staff_count,minimum_required_per_shift
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",4,6
2,Cardiology,35552,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",1,6
2,Cardiology,35567,2026-03-01,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
2,Cardiology,35567,2026-03-01,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35567,2026-03-01,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35567,2026-03-01,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",1,6
2,Cardiology,35567,2026-03-01,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",5,6
2,Cardiology,35582,2026-03-01,Night,23:00:00,07:00:00,Administrative,"Ward Coordinator",2,2
2,Cardiology,35582,2026-03-01,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35582,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",6,6
2,Cardiology,35597,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"Billing Officer",1,2
2,Cardiology,35597,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"HR Officer",1,2
2,Cardiology,35597,2026-03-02,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35597,2026-03-02,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",6,6
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
2,Cardiology,35612,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",3,6
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",4,6
2,Cardiology,35627,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",1,6
2,Cardiology,35642,2026-03-03,Morning,07:00:00,15:00:00,Administrative,"Ward Coordinator",2,2
2,Cardiology,35642,2026-03-03,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35642,2026-03-03,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",1,6
2,Cardiology,35642,2026-03-03,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",5,6
2,Cardiology,35657,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"Billing Officer",1,2
2,Cardiology,35657,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"HR Officer",1,2
2,Cardiology,35657,2026-03-03,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35657,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",6,6
2,Cardiology,35672,2026-03-03,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
2,Cardiology,35672,2026-03-03,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35672,2026-03-03,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35672,2026-03-03,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",6,6
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
