hospitalization_year,department_name,ken_code,insurance_provider,hospitalizations_count,total_base_cost,total_extra_charge,total_revenue
2024,Cardiology,Α10Χ,Uninsured,1,4627.00,0.00,4627.00
2024,Cardiology,Γ09Α,EFKA,1,418.00,836.00,1254.00
2024,Cardiology,Ε01Α,"Private Insurance",1,28907.00,0.00,28907.00
2024,Cardiology,Ε06Χα,"Bank Employee Fund",1,20597.00,0.00,20597.00
2024,Cardiology,Ε06Χα,"Private Insurance",2,41194.00,0.00,41194.00
2024,Cardiology,Ε08Χ,"Military Fund",1,3683.00,0.00,3683.00
2024,Cardiology,Κ45Μα,"Military Fund",1,2428.00,0.00,2428.00
2024,Cardiology,Λ21Α,EFKA,1,420.00,1260.00,1680.00
2024,Cardiology,Μ12Χ,"Bank Employee Fund",1,1665.00,0.00,1665.00
2024,Cardiology,Ν12Μ,"Military Fund",1,5390.00,0.00,5390.00
2024,Cardiology,Ν21Χ,"Military Fund",1,1885.00,0.00,1885.00
2024,Cardiology,Ν25Α,"Military Fund",1,482.00,1928.00,2410.00
2024,Cardiology,Ν25Α,Uninsured,1,482.00,3133.00,3615.00
2024,Cardiology,Ν27Χ,"Military Fund",1,482.00,2249.38,2731.38
2024,Cardiology,Ν30Α,"Military Fund",1,420.00,1260.00,1680.00
2024,Cardiology,Ν30Α,"Private Insurance",1,420.00,2940.00,3360.00
2024,Cardiology,Ν31Χ,"Military Fund",1,280.00,280.00,560.00
2024,Cardiology,Ν35Α,"Private Insurance",1,350.00,2800.00,3150.00
2024,Cardiology,Ν35Α,Uninsured,1,350.00,700.00,1050.00
2024,Cardiology,Ν38Χ,Uninsured,2,1758.00,2856.75,4614.75
2024,Cardiology,Ν41Χ,Uninsured,1,693.00,462.00,1155.00
2024,Cardiology,Ν68Χ,"Bank Employee Fund",1,565.00,1695.00,2260.00
2024,Cardiology,Ξ21Χ,"Bank Employee Fund",1,315.00,1575.00,1890.00
