substance_id,active_substance_name,allergic_patients_count,drugs_containing_substance_count
1,"Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water Fo",29,4
15,"Abacavir Sulfate, Lamivudine",25,5
16,"Dabigatran Etexilate",18,327
8,"Dexamethasone Sodium Phosphate",18,171
2,"Vitamin A Concentrate (Oily Form), Synthetic",16,4
27,"Amoxicillin, Clavulanic Acid",13,566
3,"Acetylsalicylic Acid",13,450
6,Benzocaine,13,27
17,Pefloxacin,13,2
10,"Reproterol Hydrochloride, Sodium Cromoglicate",13,2
26,"Abiraterone Acetate",12,346
24,Fentanyl,12,309
11,"Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol",12,15
28,Tranylcypromine,11,22
21,"Insulin Glargine",10,34
14,"Zidovudine, Abacavir, Lamivudine",10,3
9,Estriol,9,95
18,"Pefloxacin Mesilate Dihydrate",9,1
12,"Abacavir, Lamivudine",8,102
22,Apixaban,7,609
25,Brivaracetam,7,153
4,"Hypericum Perforatum L.",7,2
5,"Tincture From Agnus Castus Fruit (1:10), Extraction Solvent: Ethanol 69.5% V/V",7,2
20,Rivaroxaban,6,752
13,Abacavir,6,14
23,Atorvastatin,5,479
7,"Dexamethasone Base",4,1
19,Paracetamol,3,1386
67,Ibuprofen,0,1659
394,"Diclofenac Sodium",0,738
1317,"Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serin",0,666
211,Omeprazole,0,588
194,Aciclovir,0,582
253,Pantoprazole,0,582
63,"Metformin Hydrochloride",0,533
384,Sitagliptin,0,504
45,Sildenafil,0,500
300,Tadalafil,0,489
389,"Tramadol Hydrochloride",0,489
437,"Dimethyl Fumarate",0,485
48,"Drospirenone, Ethinylestradiol",0,483
391,Colecalciferol,0,474
301,Budesonide,0,464
545,Fluconazole,0,460
210,Esomeprazole,0,451
304,"Water For Injection",0,439
579,Ticagrelor,0,438
3532,Levetiracetam,0,437
430,"Metformin Hydrochloride, Sitagliptin",0,435
642,Quetiapine,0,415
265,Pregabalin,0,413
406,"Sodium Chloride",0,412
398,"Tamsulosin Hydrochloride",0,407
628,Oxygen,0,405
725,Rosuvastatin,0,404
2549,Clarithromycin,0,401
47,Aripiprazole,0,396
187,"Cetirizine Dihydrochloride",0,394
2832,Nicotine,0,389
323,"Xylometazoline Hydrochloride",0,376
478,Lacosamide,0,370
723,Simvastatin,0,368
137,Acetylcysteine,0,367
1783,Fingolimod,0,367
466,Risperidone,0,364
1782,Teriflunomide,0,363
55,Amlodipine,0,351
1454,Flurbiprofen,0,351
2050,Ondansetron,0,346
396,Finasteride,0,339
379,"Solifenacin Succinate",0,338
375,"Loperamide Hydrochloride",0,330
167,Ciprofloxacin,0,325
696,Clotrimazole,0,325
479,Sugammadex,0,324
104,"Ambroxol Hydrochloride",0,321
546,Mirtazapine,0,321
2546,"Bisoprolol Fumarate",0,319
5196,Gabapentin,0,319
492,Olanzapine,0,317
109,Ezetimibe,0,315
560,Methotrexate,0,315
4344,Furosemide,0,314
3695,Escitalopram,0,310
1811,Mesalazine,0,310
145,Metronidazole,0,306
498,"Fluticasone Propionate, Salmeterol",0,303
646,Latanoprost,0,298
758,Letrozole,0,298
400,"Memantine Hydrochloride",0,295
754,"Mometasone Furoate",0,295
267,Clopidogrel,0,292
499,Desloratadine,0,291
920,Levonorgestrel,0,289
543,Sertraline,0,288
1499,Linezolid,0,287
1248,Azithromycin,0,283
482,"Donepezil Hydrochloride",0,283
422,"Ethinylestradiol, Levonorgestrel",0,279
527,Voriconazole,0,278
1283,"Candesartan Cilexetil",0,275
805,Duloxetine,0,275
408,"Methylphenidate Hydrochloride",0,274
1424,"Losartan Potassium, Hydrochlorothiazide",0,272
1423,"Losartan Potassium",0,270
